sheet	range	group	formula	count	cached	error
مواد اولیه	G27		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,6)	1	#NAME?	#NAME?
مواد اولیه	H27		SUM(GN:GN)	1	#NAME?	#NAME?
مواد اولیه	I27		MULTIPLY(DIVIDE(HN,20),4.1)	1	#NAME?	#NAME?
مواد اولیه	L27		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,2)	1	#NAME?	#NAME?
مواد اولیه	M27		DIVIDE(SUM(MULTIPLY(LN,60),MULTIPLY(LN,150)),1000)	1	#NAME?	#NAME?
مواد اولیه	P27		MINUS(MN,SUM(IN,HN))	1	#NAME?	#NAME?
مواد اولیه	G28		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,3)	1	#NAME?	#NAME?
مواد اولیه	L28		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,3)	1	#NAME?	#NAME?
مواد اولیه	F31		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_Dough,4)	1	#NAME?	#NAME?
مواد اولیه	L31		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Accounting_Statistics,8)	1	#NAME?	#NAME?
مواد اولیه	P31		MINUS(FN, SUM(MULTIPLY(LN,230),MULTIPLY(LN,280),MULTIPLY(LN,1)))	1	#NAME?	#NAME?
مواد اولیه	L32		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Accounting_Statistics,9)	1	#NAME?	#NAME?
مواد اولیه	L33		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Accounting_Statistics,10)	1	#NAME?	#NAME?
مواد اولیه	F35		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_Dough,5)	1	#NAME?	#NAME?
مواد اولیه	L35		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Accounting_Statistics,11)	1	#NAME?	#NAME?
مواد اولیه	P35		MINUS(FN, SUM(MULTIPLY(LN,230),MULTIPLY(LN,280),MULTIPLY(LN,1)))	1	#NAME?	#NAME?
مواد اولیه	L36		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Accounting_Statistics,12)	1	#NAME?	#NAME?
مواد اولیه	L37		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Accounting_Statistics,13)	1	#NAME?	#NAME?
ضایعات	B4		'تاریخ'!CN	1	3	
ضایعات	C4		'تاریخ'!DN	1	شهریور	
ضایعات	D4		'تاریخ'!EN	1	1405	
ضایعات	D10		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_ChickenAndBeafWaste,2)	1	#NAME?	#NAME?
ضایعات	E10		LET(\nwaste,DN,\ntotal,GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,6),\nDIVIDE(waste,total)\n)	1	#NAME?	#NAME?
ضایعات	F10		LET(\ndate,JALALI_TO_GREG(FORMAT_PERSIAN_DATE(BN,CN,DN)),\ndata,Warehouse_OtherWaste,\nfilterByDate(data,date,0))	1	#NAME?	#NAME?
ضایعات	I10		LET(\nsheetName,"ضایعات",\ndataRange,"A:D",\ndate,JALALI_TO_GREG(FORMAT_PERSIAN_DATE(BN,CN,DN)),\ndata,IMPORT_FROM_SHEET(SheetsFileId_Kitchen_Naharkhoran,sheetName,dataRange),\nfilterByDate(data,date,0))	1	#NAME?	#NAME?
ضایعات	M10		LET(\nsheetName,"ضایعات",\ndataRange,"A:D",\ndate,JALALI_TO_GREG(FORMAT_PERSIAN_DATE(BN,CN,DN)),\ndata,IMPORT_FROM_SHEET(SheetsFileId_Kitchen_Chalebagh,sheetName,dataRange),\nfilterByDate(data,date,0))	1	#NAME?	#NAME?
ضایعات	D11		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_ChickenAndBeafWaste,3)	1	#NAME?	#NAME?
ضایعات	E11		LET(\nwaste,DN,\ntotal,GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,7),\nDIVIDE(waste,total)\n)	1	#NAME?	#NAME?
ضایعات	D12		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_ChickenAndBeafWaste,4)	1	#NAME?	#NAME?
ضایعات	E12		LET(\nwaste,DN,\ntotal,GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,8),\nDIVIDE(waste,total)\n)	1	#NAME?	#NAME?
