sheet	range	group	formula	count	cached	error
مواد حساس	I11		LET(\nfarangiData, getPreviousDayRow(Table_Farangi_Last,Date),\ngetIngredientValueById(DN,farangiData,Refresher)\n)	1	Loading...	Loading...
مواد حساس	J11		LET(\ningredientId, DN,\nsandwichSalesData,getPreviousDayRow(Table_SalesData_Sandwich,Date),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\nsum, SUM(sanTotal),\ncalcBuffer(FN,sum)\n)	1	Loading...	Loading...
مواد حساس	F12		LET(\ningredientId, DN,\nsaladSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Salad,Date),\npastaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Pasta,Date),\nsaTotal, getTotalFoodsIngredientPerDay(ingredientId,saladSalesData,"Table_Ingredients_Salad",Refresher),\npaTotal, getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Pasta",Refresher),\naverage, getAverage({saTotal, paTotal}),\nCONVERT_GR_TO_KG(average)\n)	1	Loading...	Loading...
مواد حساس	G12		LET(\ningredientId, DN,\nsaladSalesData,getLast3DaysRows(Table_SalesData_Salad,Date),\npastaSalesData,getLast3DaysRows(Table_SalesData_Pasta,Date),\nsaTotal, getTotalFoodsIngredientPerDay(ingredientId,saladSalesData,"Table_Ingredients_Salad",Refresher),\npaTotal, getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Pasta",Refresher),\ngetTrendCoefficientLast3Days(saTotal, paTotal)\n)	1	Loading...	Loading...
مواد حساس	H12		HN	1	1.15	
مواد حساس	I12		LET(\nfarangiData, getPreviousDayRow(Table_Farangi_Last,Date),\ntotalGr, getIngredientValueById(DN,farangiData,Refresher),\nCONVERT_GR_TO_KG(totalGr)\n)	1	Loading...	Loading...
مواد حساس	J12		LET(\ningredientId, DN,\nsaladSalesData,getPreviousDayRow(Table_SalesData_Salad,Date),\npastaSalesData,getPreviousDayRow(Table_SalesData_Pasta,Date),\nsaTotal, getTotalFoodsIngredientPerDay(ingredientId,saladSalesData,"Table_Ingredients_Salad",Refresher),\npaTotal, getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Pasta",Refresher),\nsum, SUM(saTotal, paTotal),\ncalcBuffer(FN,CONVERT_GR_TO_KG(sum))\n)	1	Loading...	Loading...
مواد حساس	F13		LET(\ningredientId, DN,\nstarterSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Starter,Date),\nfrangiSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Farangi,Date),\nsandwichSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Sandwich,Date),\npastaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Pasta,Date),\nstTotal,getTotalFoodsIngredientPerDay(ingredientId,starterSalesData,"Table_Ingredients_Starter",Refresher),\nfraTotal,getTotalFoodsIngredientPerDay(ingredientId,frangiSalesData,"Table_Ingredients_Farangi",Refresher),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\npaTotal, getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Pasta",Refresher),\naverage, getAverage({paTotal, fraTotal, sanTotal, stTotal}),\nCONVERT_GR_TO_KG(average)\n)	1	Loading...	Loading...
مواد حساس	G13		LET(\ningredientId, DN,\nstarterSalesData,getLast3DaysRows(Table_SalesData_Starter,Date),\nfrangiSalesData,getLast3DaysRows(Table_SalesData_Farangi,Date),\nsandwichSalesData,getLast3DaysRows(Table_SalesData_Sandwich,Date),\npastaSalesData,getLast3DaysRows(Table_SalesData_Pasta,Date),\nstTotal,getTotalFoodsIngredientPerDay(ingredientId,starterSalesData,"Table_Ingredients_Starter",Refresher),\nfraTotal,getTotalFoodsIngredientPerDay(ingredientId,frangiSalesData,"Table_Ingredients_Farangi",Refresher),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\npaTotal, getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Pasta",Refresher),\ngetTrendCoefficientLast3Days(paTotal, fraTotal, sanTotal, stTotal)\n)	1	Loading...	Loading...
مواد حساس	H13		HN	1	1.15	
مواد حساس	I13		LET(\nfarangiData, getPreviousDayRow(Table_Farangi_Last,Date),\ntotalGr, getIngredientValueById(DN,farangiData,Refresher),\nCONVERT_GR_TO_KG(totalGr)\n)	1	Loading...	Loading...
مواد حساس	J13		LET(\ningredientId, DN,\nstarterSalesData,getPreviousDayRow(Table_SalesData_Starter,Date),\nfrangiSalesData,getPreviousDayRow(Table_SalesData_Farangi,Date),\nsandwichSalesData,getPreviousDayRow(Table_SalesData_Sandwich,Date),\npastaSalesData,getPreviousDayRow(Table_SalesData_Pasta,Date),\nstTotal,getTotalFoodsIngredientPerDay(ingredientId,starterSalesData,"Table_Ingredients_Starter",Refresher),\nfraTotal,getTotalFoodsIngredientPerDay(ingredientId,frangiSalesData,"Table_Ingredients_Farangi",Refresher),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\npaTotal, getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Pasta",Refresher),\nsum, SUM(paTotal, fraTotal, sanTotal, stTotal),\ncalcBuffer(FN,CONVERT_GR_TO_KG(sum)))	1	Loading...	Loading...
مواد حساس	F14		LET(\ningredientId, DN,\nsandwichSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Sandwich,Date),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\ngetAverage(sanTotal)\n)	1	Loading...	Loading...
مواد حساس	G14		LET(\ningredientId, DN,\nsandwichSalesData,getLast3DaysRows(Table_SalesData_Sandwich,Date),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\ngetTrendCoefficientLast3Days(sanTotal)\n)	1	Loading...	Loading...
مواد حساس	H14		HN	1	1.15	
مواد حساس	I14		LET(\nfarangiData, getPreviousDayRow(Table_Farangi_Last,Date),\ngetIngredientValueById(DN,farangiData,Refresher)\n)	1	Loading...	Loading...
مواد حساس	J14		LET(\ningredientId, DN,\nsandwichSalesData,getPreviousDayRow(Table_SalesData_Sandwich,Date),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\nsum, SUM(sanTotal),\ncalcBuffer(FN,sum)\n)	1	Loading...	Loading...
مواد حساس	F15		LET(\ningredientId, DN,\nsandwichSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Sandwich,Date),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\ngetAverage(sanTotal)\n)	1	Loading...	Loading...
مواد حساس	G15		LET(\ningredientId, DN,\nsandwichSalesData,getLast3DaysRows(Table_SalesData_Sandwich,Date),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\ngetTrendCoefficientLast3Days(sanTotal)\n)	1	Loading...	Loading...
مواد حساس	H15		HN	1	1.15	
مواد حساس	I15		LET(\nfarangiData, getPreviousDayRow(Table_Farangi_Last,Date),\ngetIngredientValueById(DN,farangiData,Refresher)\n)	1	Loading...	Loading...
مواد حساس	J15		LET(\ningredientId, DN,\nsandwichSalesData,getPreviousDayRow(Table_SalesData_Sandwich,Date),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\nsum, SUM(sanTotal),\ncalcBuffer(FN,sum)\n)	1	Loading...	Loading...
مواد حساس	F16		LET(\ningredientId, DN,\nitalianPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_ItalianPizza,Date),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\ngetAverage(itTotal)\n)	1	Loading...	Loading...
مواد حساس	G16		LET(\ningredientId, DN,\nitalianPizzaSalesData,getLast3DaysRows(Table_SalesData_ItalianPizza,Date),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\ngetTrendCoefficientLast3Days(itTotal)\n)	1	Loading...	Loading...
مواد حساس	H16		HN	1	1.15	
مواد حساس	I16		LET(\nfarangiData, getPreviousDayRow(Table_Farangi_Last,Date),\ngetIngredientValueById(DN,farangiData,Refresher)\n)	1	Loading...	Loading...
مواد حساس	J16		LET(\ningredientId, DN,\nitalianPizzaSalesData,getPreviousDayRow(Table_SalesData_ItalianPizza,Date),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nsum, SUM(itTotal),\ncalcBuffer(FN,sum))	1	Loading...	Loading...
مواد حساس	F17		LET(\ningredientId, DN,\npastaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Pasta,Date),\npaTotal, getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Pasta",Refresher),\naverage, getAverage(paTotal),\nCONVERT_GR_TO_KG(average)\n)	1	Loading...	Loading...
مواد حساس	G17		LET(\ningredientId, DN,\npastaSalesData,getLast3DaysRows(Table_SalesData_Pasta,Date),\npaTotal, getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Pasta",Refresher),\ngetTrendCoefficientLast3Days(paTotal)\n)	1	Loading...	Loading...
مواد حساس	H17		HN	1	1.15	
مواد حساس	I17		LET(\nfarangiData, getPreviousDayRow(Table_Farangi_Last,Date),\ntotalGr, getIngredientValueById(DN,farangiData,Refresher),\nCONVERT_GR_TO_KG(totalGr)\n)	1	Loading...	Loading...
مواد حساس	J17		LET(\ningredientId, DN,\npastaSalesData,getPreviousDayRow(Table_SalesData_Pasta,Date),\npaTotal, getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Pasta",Refresher),\nsum, SUM(paTotal),\ncalcBuffer(FN,CONVERT_GR_TO_KG(sum))\n)	1	Loading...	Loading...
